Year,Region,Vehicle,Distance
1998,South East,all_HGVs,2389.2
1998,South East,all_motor_vehicles,49643.3
1998,West Midlands,pedal_cycles,191.8
1998,West Midlands,two_wheeled_motor_vehicles,190.2
1998,West Midlands,cars_and_taxis,22492.9
1998,West Midlands,buses_and_coaches,333.9
1998,West Midlands,LGVs,3122.1
1998,West Midlands,all_HGVs,1916.1
1998,West Midlands,all_motor_vehicles,28055.2
1998,North East,pedal_cycles,85.6
1998,North East,two_wheeled_motor_vehicles,61
1998,North East,cars_and_taxis,9251
1998,North East,buses_and_coaches,196.7
1998,North East,LGVs,1223.9
1998,North East,all_HGVs,501.7
1998,North East,all_motor_vehicles,11234.3
1999,South West,pedal_cycles,229.4
1999,South West,two_wheeled_motor_vehicles,337.9
1999,South West,cars_and_taxis,21992.3
1999,South West,buses_and_coaches,282
1999,South West,LGVs,2969.5
1999,South West,all_HGVs,1555.1
1999,South West,all_motor_vehicles,27136.9
1999,East Midlands,pedal_cycles,205.4
1999,East Midlands,two_wheeled_motor_vehicles,199.4
1999,East Midlands,cars_and_taxis,18420.9
1999,East Midlands,buses_and_coaches,208.7
1999,East Midlands,LGVs,2583.6
1999,East Midlands,all_HGVs,1978.9
1999,East Midlands,all_motor_vehicles,23391.6
1999,Scotland,pedal_cycles,147.8
1999,Scotland,two_wheeled_motor_vehicles,150.1
1999,Scotland,cars_and_taxis,19628.5
1999,Scotland,buses_and_coaches,380.8
1999,Scotland,LGVs,2893.8
1999,Scotland,all_HGVs,1510.8
1999,Scotland,all_motor_vehicles,24564.1
1999,Wales,pedal_cycles,81.6
1999,Wales,two_wheeled_motor_vehicles,125
1999,Wales,cars_and_taxis,12552.8
1999,Wales,buses_and_coaches,175.7
1999,Wales,LGVs,1806.2
1999,Wales,all_HGVs,818.3
1999,Wales,all_motor_vehicles,15477.9
1999,North West,pedal_cycles,255.4
1999,North West,two_wheeled_motor_vehicles,232.2
1999,North West,cars_and_taxis,26464
1999,North West,buses_and_coaches,381.1
1999,North West,LGVs,3382.8
1999,North West,all_HGVs,2146
1999,North West,all_motor_vehicles,32606.1
1999,London,pedal_cycles,280.9
1999,London,two_wheeled_motor_vehicles,443.3
1999,London,cars_and_taxis,16643.7
1999,London,buses_and_coaches,329.8
1999,London,LGVs,2224.2
1999,London,all_HGVs,674
1999,London,all_motor_vehicles,20315
1999,East of England,pedal_cycles,373.2
1999,East of England,two_wheeled_motor_vehicles,325.2
1999,East of England,cars_and_taxis,25732.6
1999,East of England,buses_and_coaches,295.6
1999,East of England,LGVs,3769.8
1999,East of England,all_HGVs,2033.8
1999,East of England,all_motor_vehicles,32157.2
1999,Yorkshire and the Humber,pedal_cycles,234.5
1999,Yorkshire and the Humber,two_wheeled_motor_vehicles,195.5
1999,Yorkshire and the Humber,cars_and_taxis,18907.1
1999,Yorkshire and the Humber,buses_and_coaches,267.3
1999,Yorkshire and the Humber,LGVs,2711.8
1999,Yorkshire and the Humber,all_HGVs,1845.7
1999,Yorkshire and the Humber,all_motor_vehicles,23927.3
1999,South East,pedal_cycles,440.3
1999,South East,two_wheeled_motor_vehicles,508.4
1999,South East,cars_and_taxis,41913
1999,South East,buses_and_coaches,429.7
1999,South East,LGVs,5340.7
1999,South East,all_HGVs,2463
1999,South East,all_motor_vehicles,50654.8
1999,West Midlands,pedal_cycles,197.9
1999,West Midlands,two_wheeled_motor_vehicles,207.4
1999,West Midlands,cars_and_taxis,22789.8
1999,West Midlands,buses_and_coaches,341.2
1999,West Midlands,LGVs,3155.1
1999,West Midlands,all_HGVs,1927.1
1999,West Midlands,all_motor_vehicles,28420.6
1999,North East,pedal_cycles,88.3
1999,North East,two_wheeled_motor_vehicles,68.8
1999,North East,cars_and_taxis,9488.2
1999,North East,buses_and_coaches,203.1
1999,North East,LGVs,1218
1999,North East,all_HGVs,525.9
1999,North East,all_motor_vehicles,11503.9
2000,South West,pedal_cycles,232.9
2000,South West,two_wheeled_motor_vehicles,335.9
2000,South West,cars_and_taxis,22145.9
2000,South West,buses_and_coaches,274.3
2000,South West,LGVs,3075.4
2000,South West,all_HGVs,1525.1
2000,South West,all_motor_vehicles,27356.7
2000,East Midlands,pedal_cycles,208.8
2000,East Midlands,two_wheeled_motor_vehicles,205.2
2000,East Midlands,cars_and_taxis,18301.7
2000,East Midlands,buses_and_coaches,202.5
2000,East Midlands,LGVs,2641.6
2000,East Midlands,all_HGVs,1966.7
2000,East Midlands,all_motor_vehicles,23317.6
2000,Scotland,pedal_cycles,150.3
2000,Scotland,two_wheeled_motor_vehicles,155.1
2000,Scotland,cars_and_taxis,19537.5
2000,Scotland,buses_and_coaches,372.2
2000,Scotland,LGVs,2853
2000,Scotland,all_HGVs,1513.9
2000,Scotland,all_motor_vehicles,24431.8
2000,Wales,pedal_cycles,82.2
2000,Wales,two_wheeled_motor_vehicles,129.6
2000,Wales,cars_and_taxis,12451.9
2000,Wales,buses_and_coaches,172
2000,Wales,LGVs,1822.5
2000,Wales,all_HGVs,794.5
2000,Wales,all_motor_vehicles,15370.6
2000,North West,pedal_cycles,260.5
2000,North West,two_wheeled_motor_vehicles,244
2000,North West,cars_and_taxis,26389.3
2000,North West,buses_and_coaches,363.3
2000,North West,LGVs,3410.9
2000,North West,all_HGVs,2118.2
2000,North West,all_motor_vehicles,32525.8
2000,London,pedal_cycles,285.1
2000,London,two_wheeled_motor_vehicles,443.2
2000,London,cars_and_taxis,16579.1
2000,London,buses_and_coaches,320.8
2000,London,LGVs,2246.9
2000,London,all_HGVs,698.4
2000,London,all_motor_vehicles,20288.4
2000,East of England,pedal_cycles,383.7
2000,East of England,two_wheeled_motor_vehicles,330.3
2000,East of England,cars_and_taxis,25542.9
2000,East of England,buses_and_coaches,295.1
2000,East of England,LGVs,3791.9
2000,East of England,all_HGVs,2066.3
2000,East of England,all_motor_vehicles,32026.5
2000,Yorkshire and the Humber,pedal_cycles,241.1
2000,Yorkshire and the Humber,two_wheeled_motor_vehicles,203.7
2000,Yorkshire and the Humber,cars_and_taxis,18851.4
2000,Yorkshire and the Humber,buses_and_coaches,262.1
2000,Yorkshire and the Humber,LGVs,2747.8
2000,Yorkshire and the Humber,all_HGVs,1828.5
2000,Yorkshire and the Humber,all_motor_vehicles,23893.5
2000,South East,pedal_cycles,447.3
2000,South East,two_wheeled_motor_vehicles,503.2
2000,South East,cars_and_taxis,41755.3
2000,South East,buses_and_coaches,418.8
2000,South East,LGVs,5451.1
2000,South East,all_HGVs,2549.9
2000,South East,all_motor_vehicles,50678.3
2000,West Midlands,pedal_cycles,202.5
2000,West Midlands,two_wheeled_motor_vehicles,210.8
2000,West Midlands,cars_and_taxis,22674.7
2000,West Midlands,buses_and_coaches,322.9
2000,West Midlands,LGVs,3188.1
2000,West Midlands,all_HGVs,1950.4
2000,West Midlands,all_motor_vehicles,28346.9
